headline,type,year,news_desk_category,GPT_score,GPT_class
"A Blast From the Past, Courtesy of the Met",article,2005,home,0.2,clickbait
"Despite Fewer Hours, City's Overtime Costs Rise",article,2003,home,-0.5,clickbait
Will Obama Boost U.S. World Cup Bid?,article,2009,uncategorized,0.3,clickbait
China Action Against Multinational Firms,multimedia,2014,business/economy/financial,-0.5,balanced
"Paid Notice: Deaths  SHERMAN, IRVING",article,2003,lifestyle/living,-0.8,matter-of-fact
The Soft-Money Ban,article,2005,media,0.2,clickbait
Studies of Mental Illness Show Links to Violence,article,1998,world/international/foreign,0.2,balanced
"In Los Angeles, a Billionaire Doctor Takes On an Ailing Newspaper",article,2018,world/international/foreign,0.2,clickbait
Larson and Isler Win Sailing Honors,article,1998,sports,0.5,balanced
Article 2001050893063088494 -- No Title,article,2001,uncategorized,0.0,clickbait
Corrections,article,1996,home,0.5,clickbait
"Highs, Lows and In-Betweens for Browns",article,2002,sports,0.2,clickbait
Correction,article,1993,home,0.2,clickbait
"Paid Notice: Deaths  PERDUE, WILLIAM R.",article,1998,lifestyle/living,-0.8,matter-of-fact
"Nuremberg, Nasser, Timor, Iraq",article,2003,media,-0.5,clickbait
Showing the Grandchildren a Grand Time in the Big City,article,2011,weekend,0.7,clickbait
"With Turnout High, Results May Hinge on First-Timers",article,2004,world/international/foreign,0.2,balanced
"Two Hospitals, One Good Merger",article,2001,media,0.5,clickbait
"Paid Notice: Memorials  ARMSTRONG, FRANK",article,2001,lifestyle/living,0.1,matter-of-fact
COLLEGE BASKETBALL; Coach Drexler Is Gliding Up From Home,article,1999,sports,0.2,clickbait
Albany No Longer a Secret In High-Tech Chip World,article,2002,home,0.5,balanced
The empty center,article,2009,opinion/editorial,0.2,clickbait
Clinton Will Seek Tougher Proposals To Rein In Smoking,article,1997,world/international/foreign,0.3,balanced
Seles Won't Say When But She Will Say Why,article,1994,sports,0.2,clickbait
A Conversation With: Akhtarul Wasey,article,2012,uncategorized,0.3,balanced
Corrections,article,2003,home,0.0,balanced
"Edward Herman, 92, Critic of U.S. Media and Foreign Policy, Dies",article,2017,obituary,-0.5,balanced
MedCottage and Granny Pod,article,2010,uncategorized,0.3,balanced
Iraqi Detainees,article,2003,media,-0.7,matter-of-fact
This Week,article,1998,arts/culture,0.0,matter-of-fact
Punch and Counter-Punch,article,2006,uncategorized,0.2,clickbait
Journal shut by China set to resume publication,article,2006,uncategorized,0.5,balanced
"An Extra Eye in Combat, and Maybe Aboard Airplanes",article,2004,business/economy/financial,0.2,clickbait
"In 'Cagelove,' a Triangle (Sort of), Including a Man Offstage (Sort Of)",article,2006,arts/culture,0.2,clickbait
WPP Group Acquires Consulting Company,article,1998,business/economy/financial,0.2,balanced
NATO Search: A Public (and Not-So-Diplomatic) Falling-Out,article,1995,world/international/foreign,-0.5,clickbait
Corrections,article,2010,entertainment,0.5,clickbait
"In the Land of Lost Men, No One Asks for Direction",article,2007,arts/culture,-0.5,clickbait
Technology Briefing | Hardware: Nortel Ends Chief Executive Office,article,2002,business/economy/financial,-0.5,matter-of-fact
Wheelies: The Export Import Edition,article,2014,business/economy/financial,0.2,clickbait
Baseball Owners Seek Off-Season Freeze,article,1994,sports,-0.5,balanced
HealthSouth Names New Board Member,article,2002,business/economy/financial,0.3,matter-of-fact
"Suddenly, Ricotta’s a Big Cheese",article,2008,dining/food,0.5,clickbait
Japanese Wares on American Soil,article,2004,home,0.3,balanced
Margaret Thatcher: Her Journey From Aspiring Politician to World Leader,multimedia,2013,world/international/foreign,0.7,balanced
"Panel Rebukes Judge, Citing ‘Lunacy’ in Court",article,2007,entertainment,-0.8,clickbait
Parishioners in Boston Plan Suit Over Priests' Pensions,article,2005,world/international/foreign,-0.6,balanced
Children's Books,article,1996,books/reviews,0.3,matter-of-fact
Officials Say Sea Lions in Oregon Were Not Shot,article,2008,uncategorized,0.2,balanced
Lewis Wins Defense Award,article,2001,sports,0.5,balanced
Novell Earnings Fell 1% in Fourth Quarter,article,1993,business/economy/financial,-0.1,balanced
2020 Should Be the Last Time We Vote Like This,article,2020,opinion/editorial,-0.5,clickbait
The Mayor Is Rebuffed On Welfare,article,1997,home,-0.5,clickbait
The Truman Show,article,1999,magazine,0.0,clickbait
The Great Indian Dream,article,2004,media,0.5,clickbait
The Nation; Mulling the Idea of Affirmative Action for Poor Whites,article,1991,weekend,0.2,clickbait
Durham Surprises Even Allies With Statement on F.B.I.’s Trump Case,article,2019,fashion/style,0.2,clickbait
McGreevey Warms to Plan To Raise Taxes On the Wealthy,article,2004,home,0.2,balanced
The Pain Beneath the Pounds,article,2008,weekend,-0.5,clickbait
Bad Advice,article,2004,sports,-0.7,clickbait
"Kremlin Willing to Review Missile Accords, Aide Says",article,2001,world/international/foreign,0.3,balanced
Technology Briefing | Deals: I.B.M. To Acquire Venetica,article,2004,business/economy/financial,0.2,matter-of-fact
Jason Moran Will Bring His Interdisciplinary Jazz Approach to the Whitney,article,2019,arts/culture,0.7,balanced
Corrections,article,2004,travel,0.2,balanced
THE MEDIA BUSINESS: ADVERTISING -- ADDENDA;Accounts,article,1996,business/economy/financial,0.0,matter-of-fact
Polgar Responds on Her Blog; Texas Tech Voices Its Support,article,2007,uncategorized,0.5,balanced
California Bars a Firm's Voting Machines in November Election,article,2004,world/international/foreign,-0.5,balanced
"It's a Dog's Life -- Or Evening, at Least",article,2004,weekend,0.3,clickbait
Another Look at the 60-Hour Week,article,1991,business/economy/financial,0.2,clickbait
The Further Adventures of That Ladies’ Man,article,2006,weekend,0.2,clickbait
Our Best Fourth of July Recipes,article,2020,dining/food,0.8,balanced
"Burning Eyes, Foaming Mouths: Years of Suspected Chemical Attacks in Syria",article,2018,world/international/foreign,-0.8,clickbait
The Remix; Now Appearing | Cocoa Powder,article,2006,magazine,0.2,clickbait
"In Alaska Voters’ Spelling Bee, She’s the Queen",article,2010,world/international/foreign,0.5,clickbait
Giuliani Says Some in Union Were Misled About Law on Penalties for Strikes,article,1999,home,-0.4,clickbait
CLINTON REAFFIRMS POLICY ON YELTSIN,article,1993,world/international/foreign,0.2,balanced
Brazil’s Students Occupy Their Schools to Save Them,article,2015,opinion/editorial,0.3,balanced
Enron to Collect Cash from Lay’s Life Insurance,article,2006,business/economy/financial,-0.5,clickbait
NEWS SUMMARY,article,2002,home,0.0,clickbait
License? Who Needs a License,article,2009,uncategorized,0.2,clickbait
Swish Just Won't Cut It In Jordan's New Sport,article,1994,sports,-0.5,clickbait
Prabal Gurung Brings Fashion to the Aid of Nepal,article,2015,fashion/style,0.7,balanced
"At Apocalypse Central, Preparing for What Happens, or Doesn’t",article,2011,world/international/foreign,0.2,clickbait
"Jerome Holtzman, 82, ‘Dean’ of Sportswriters, Dies",article,2008,sports,-0.7,balanced
Clip: ‘Lullaby’,multimedia,2014,arts/culture,0.2,clickbait
What to Cook This Week,article,2016,dining/food,0.5,balanced
Lottery Numbers,article,2011,entertainment,0.2,clickbait
New Pieces of the Drug Puzzle,article,2001,media,0.3,clickbait
INSIDE,article,2003,home,0.2,clickbait
California Today: Readers Weigh In on the Dirtiest Block in San Francisco,article,2018,world/international/foreign,-0.5,balanced
The Fragile Patchwork,multimedia,2015,uncategorized,0.2,clickbait
"Paid Notice: Deaths   FRIEDMAN, LYNN",article,2006,lifestyle/living,-0.8,matter-of-fact
7 Federal Inspectors Plead Guilty in Kickback Scheme at Produce Market,article,2000,home,-0.7,clickbait
"Marv Throneberry, 60, Ex-Met; Had Best Year in Team's Worst",article,1994,obituary,0.2,clickbait
"The Three Faces, All of Them Female, of Liberty",article,2000,sports,0.3,clickbait
"Paid Notice: Deaths   YOHALEM, AARON S.",article,2003,lifestyle/living,-0.8,matter-of-fact
Poking Holes in Verdi to Let Audiences In,article,2001,sports,0.3,clickbait
"Maurice White, a Voyager Who Traveled Countless Musical Paths",article,2016,arts/culture,0.7,balanced
"George N. Putnam, 82, a Maryknoll Teacher",article,1991,obituary,-0.3,matter-of-fact
"TENNECO AUTOMOTIVE TO DISMISS 700, 16% OF WORK FORCE",article,2000,business/economy/financial,-0.7,balanced
Nepotistic Lobbying,article,2006,media,-0.6,clickbait
A Tale of Car Chases And Intrigue in Russia,article,2001,weekend,0.3,clickbait
BUSINESS DIGEST,article,2003,business/economy/financial,0.2,matter-of-fact
Corrections,article,2009,entertainment,0.0,balanced
Donald Trump Rebukes Hillary Clinton as Clash Erupts Outside Event,article,2016,world/international/foreign,-0.5,clickbait
The Story Behind Kennedy’s Surgery,article,2008,science/health,0.2,balanced
Officer in Murder Case Got Benefit of Doubt in '85,article,2005,home,-0.5,clickbait
China’s Shanxi Province,multimedia,2011,travel,0.0,matter-of-fact
Clans Complicate Philippine Conflict,article,2007,world/international/foreign,-0.5,clickbait
Political Memo; Democrats Find Campaign Trail in the Capital,article,1998,world/international/foreign,0.3,balanced
Caucus Video: Spinning the Debate,article,2011,uncategorized,0.2,clickbait
Politics Overwhelmed Policy in House I.M.F. Vote,article,1998,media,-0.5,clickbait
Remember Sequestration?,article,2013,uncategorized,-0.5,clickbait
Dinkins Gets Boost From Ruling on Police Raises,article,1991,home,0.5,balanced
Gateway Dismisses D.M.B.& B.,article,1998,business/economy/financial,-0.4,clickbait
Wine Bars Grow Up and Squeeze In,article,2008,dining/food,0.4,clickbait
Singer on the Sand,article,1991,books/reviews,0.2,clickbait
Equipment; Dressed to a Tee,article,2006,sports,0.3,clickbait
Kasparov’s Moves in Run for Chess Office Raise Ethical Concerns,article,2014,sports,-0.5,balanced
"Fed’s Decision on Interest Rates, Autoworkers’ Contract Talks and a Greek Election",article,2015,business/economy/financial,0.2,balanced
A Tycoon Who Ate the ‘New China’ for Breakfast,article,2007,arts/culture,0.3,clickbait
Take the Test,article,2003,magazine,0.2,clickbait
Romney Embraces Attack Style Against Gingrich,article,2012,world/international/foreign,0.2,clickbait
Stock Offerings This Week,article,2003,business/economy/financial,0.2,matter-of-fact
Elizabeth Warren’s Social Security Plan: Raise Benefits by $200 a Month,article,2019,politics,0.7,balanced
"State of the Union, Syria, the Moon: Your Wednesday Briefing",article,2018,uncategorized,0.0,balanced
Liberal Veterans’ Group Endorses Pete Buttigieg in 2020 Race,article,2019,politics,0.6,balanced
Morgan Stanley Fought Feline — and Won,article,2006,business/economy/financial,0.6,clickbait
Hill Dribbling Through a Forest of Expectations,article,1994,sports,0.2,clickbait
"New Program for Buyers, With No Money Down",article,2010,world/international/foreign,0.7,clickbait
Bush Names Cheney Kin to Legal Post,article,2005,world/international/foreign,0.2,balanced
Actor Shot By Father During Visit To Ill Mother,article,2004,home,-0.9,clickbait
"Harold Stevenson, Education Psychologist, Dies at 80",article,2005,world/international/foreign,-0.7,balanced
"Morning Skim: Name That Currency, Kim’s Missile, Drug Laws and More",article,2009,opinion/editorial,0.1,clickbait
Cooking School Offers Holiday Class,article,2019,dining/food,0.5,balanced
Lactose Tolerance in East Africa Points to Recent Evolution,article,2006,world/international/foreign,0.6,balanced
An Unlikely Thanksgiving Tradition Carries On,article,2020,special features,0.3,clickbait
China Orders Registration of App Stores,article,2017,business/economy/financial,-0.3,balanced
Where Training Awaits Students in Need,article,1995,weekend,0.2,balanced
Jerusalem Journal; Can Israelis Be Polite? A Phone Call Could Tell,article,1995,world/international/foreign,0.1,clickbait
Tom Joad Gave Up,article,2010,opinion/editorial,-0.6,clickbait
The Year in White-Collar Crime,article,2014,business/economy/financial,0.2,balanced
Laurel Hollow Needs Its Police Force,article,1998,weekend,-0.5,balanced
The Magic Behind Rating Apps,article,2010,business/economy/financial,0.6,clickbait
Pataki Renews Call to Limit Home Relief,article,1996,home,-0.3,balanced
Marilynne Robinson: By the Book,article,2013,books/reviews,0.2,balanced
Stamps,article,1991,uncategorized,0.2,matter-of-fact
"Kathleen Lynch, Jonathan Hale",article,1997,social/society,0.0,balanced
Paperback Advice,article,2004,sports,0.5,clickbait
Five Models to Watch This Fashion Week,multimedia,2015,magazine,0.5,balanced
Rising Tory Politician Found Dead Mysteriously,article,1994,world/international/foreign,-0.8,clickbait
Sandra’s Sources | Stark Wallcovering,article,2008,fashion/style,0.2,balanced
Ivo van Hove’s ‘Don Giovanni’ Will Be Shared by Paris and the Met,article,2018,arts/culture,0.7,balanced
6 Boys Killed While Swimming in Northern Afghanistan,article,2013,world/international/foreign,-1.0,balanced
ROAD A NATIONAL SITE,article,2001,weekend,0.2,clickbait
FRONT PAGE TO OPERA STAGE,article,1991,magazine,0.2,clickbait
BUSINESS DIGEST,article,1997,business/economy/financial,0.2,matter-of-fact
Ophelia Fights Back,article,1998,books/reviews,0.5,clickbait
Jobs That You Can Do Forever,article,2012,uncategorized,0.3,clickbait
When Gary Hart Bought Martin O’Malley His First (Legal) Beer,article,2014,uncategorized,0.3,clickbait
Fast-Track Trial In the Senate,article,1999,media,0.2,balanced
Strain Shows In Committees On Health Bill,article,1994,world/international/foreign,-0.4,balanced
Publisher of The News Charts a Tough Course,article,1992,home,0.1,balanced
Corrections,article,2006,home,0.0,balanced
The St. Paul’s Rape Case Shows Why Sexual-Assault Laws Must Change,article,2015,magazine,-0.6,balanced
Visions of Blackberry Picking Can Sustain the Straphanger;Dull the Driver's Edge,article,1994,media,0.2,clickbait
Business Leaders Cautiously Expect G.O.P. Win to Open Some Doors,article,2014,business/economy/financial,0.2,balanced
"Devils Fall, but It's the Rangers Who Lose Ground",article,1999,sports,-0.4,clickbait
"Steel Industry, Seeing a New Dawn, Is Cheering for Trump",article,2017,business/economy/financial,0.6,clickbait
Sophie Bell and Joseph Sacca,article,1998,social/society,0.0,matter-of-fact
"Paid Notice: Deaths  SHAPIRO, ROBIN",article,2001,lifestyle/living,-0.8,matter-of-fact
"Paid Notice: Deaths  KUNSTENAAR, ADRIANA SALINAS",article,2000,lifestyle/living,-0.8,matter-of-fact
"One Favorite Rolls, but Another Tails Off",article,2012,sports,0.1,clickbait
The New iPad Is Already Scarce,article,2012,uncategorized,-0.7,clickbait
Can South America Produce a Superclub?,article,2019,sports,0.3,clickbait
Next Task for Vegas Golden Knights: Attract Free Agents,article,2018,sports,0.2,balanced
The Joy of Toys,multimedia,2013,books/reviews,0.7,balanced
The Tortured Path Of a Troubled Youth,article,1998,world/international/foreign,-0.7,clickbait
Becky Suss’s Painted Memories Have a Solo Show in Chelsea,article,2017,weekend,0.6,balanced
COLLEGE BASKETBALL REPORT,article,1997,sports,0.0,matter-of-fact
Who and What’s Behind the Blockades Disrupting Canada’s Rails,article,2020,world/international/foreign,-0.6,balanced
Legal Fees Are Sole Issue in Warhol Case,article,1995,weekend,0.0,balanced
Venezuela’s Descent Into Dictatorship,article,2017,opinion/editorial,-0.8,clickbait
"Jim Brock, 57, Baseball Coach Who Led Collegiate Champions",article,1994,obituary,0.3,balanced
China Confirms New Coronavirus Spreads From Humans to Humans,article,2020,world/international/foreign,-0.7,balanced
"Snap Sketch | Coco Rocha, Colin Self and the Faces of New York Fashion Week",article,2014,fashion/style,0.5,balanced
The Eye in a Hurricane of Corruption,article,2010,weekend,-0.7,clickbait
On a Gold Nostalgia Train to Motown,article,2006,arts/culture,0.7,clickbait
World Briefing | Asia: Pakistan: Afghan Journalist Freed,article,2004,world/international/foreign,0.5,balanced
"Kate Itzkowitz, Andrew Pagano",article,2011,social/society,0.2,matter-of-fact
It’s Official: American Is Now a Bolshoi Dancer,article,2011,uncategorized,0.5,clickbait
"When This Book Argued for Shift in Antitrust Policy, Its Subject Smiled",article,2004,business/economy/financial,0.2,clickbait
"'Cats' and 'Prufrock,' Now and Forever",article,2000,media,0.2,clickbait
"Paid Notice: Deaths  WOLFE, MARGUERITE",article,2001,lifestyle/living,-0.8,matter-of-fact
World Briefing | Europe: Slovakia: European Union Vote Is Set,article,2003,world/international/foreign,0.2,matter-of-fact
Knicks Extend Journey With One More Overtime,article,1997,sports,0.3,clickbait
Richard Prince: ‘14 Paintings’,article,2012,weekend,0.2,balanced
News Quiz: Test Your Knowledge of the Week’s Headlines,multimedia,2018,lifestyle/living,0.1,balanced
Say Goodbye To the Old Barn,article,2003,weekend,0.2,clickbait
Holiday toast to Italy's new bubbly,article,2006,uncategorized,0.7,balanced
"Paid Notice: Deaths  FELD, EVA (NEE FEINBERG)",article,1997,lifestyle/living,-0.8,matter-of-fact
The Waterfront Is Precious,article,1993,sports,0.5,clickbait
Redstones Reverse Course and Put a Stop to Viacom-CBS Merger,article,2016,business/economy/financial,-0.5,clickbait
Accounting for the Cost of War,article,2004,media,-0.6,balanced
"Mylan Labs (MYL,N) reports earnings for Qtr to Dec 31",article,1995,business/economy/financial,0.1,matter-of-fact
A California Billionaire Who Avoided the Spotlight Suddenly Finds Himself in It,article,2006,home,0.1,clickbait
Mural Reflects Students' Visions,article,2002,home,0.5,balanced
Scare at Missouri Walmart as Man With Rifle and Body Armor Is Detained,article,2019,special features,-0.7,clickbait
Dick Morris on Underworked Faculty,article,2009,uncategorized,0.2,clickbait
One Man’s Millions Turn a Community in Florida Around,article,2015,world/international/foreign,0.8,clickbait
Patient Memoirs: Are They Worth Reading?,article,2010,science/health,0.2,balanced
"Paid Notice: Deaths  HART, TRUDY",article,1997,lifestyle/living,-0.8,matter-of-fact
"Arts, Briefly; Remembering Ray Charles",article,2005,weekend,0.5,balanced
Dow Gains 5.99 as World Rally Continues,article,1991,business/economy/financial,0.2,balanced
"Paid Notice: Deaths  PERLIN, MARSHALL",article,1999,lifestyle/living,-0.9,matter-of-fact
Still Crazy Eddie After All These Years,article,2001,weekend,0.2,clickbait
Finding Emotional Depths In Broadway and Ballads,article,1998,weekend,0.5,balanced
Four Shows to Watch This Week,article,2017,technology,0.3,balanced
Parts of the Ohio River Recede After Flooding,article,1991,world/international/foreign,-0.4,balanced
"Happy Anniversary, Heart Transplant",article,2017,opinion/editorial,0.8,clickbait
PRO BASKETBALL;So Much for Karma. Knicks Stomp Bulls.,article,1996,sports,0.5,clickbait
Jets Facing Cold Old History and a Hot Young Quarterback,article,1993,sports,0.2,clickbait
A Subway Solution for Jeter,article,2004,sports,0.3,clickbait
"What You Get for $650,000",multimedia,2019,real estate,0.2,balanced
What Kind of Job Is Bradley Walking Into?,article,2011,uncategorized,0.2,clickbait
Former HealthSouth Executive Denies Orders to Break Law,article,2005,business/economy/financial,-0.5,balanced
"Intimate, mammoth Mikhailov",article,2004,uncategorized,0.1,clickbait
Europe Was Colder Than the North Pole This Week. How Could That Be?,article,2018,crime/justice,-0.5,clickbait
"In China, Cultivating the Urge to Splurge",article,2010,magazine,0.5,clickbait
At Work; A Job Coach's Sobering Pep Talk,article,1994,business/economy/financial,0.2,balanced
A KeySpan campaign takes swipes at the competitors who provide oil heat.,article,2003,business/economy/financial,-0.5,clickbait
Film Festival Starts And Finishes,article,1992,sports,0.2,matter-of-fact
Bombs Hit Hub of Diplomacy in Baghdad,article,2010,world/international/foreign,-0.9,clickbait
"Hemi Power, Fully Accessible",multimedia,2012,automobiles,0.5,clickbait
"Michele Magnone, David S. Cohen",article,1995,social/society,0.0,matter-of-fact
"Despite Convictions, Brazil Corruption Case Drags On ",article,2013,world/international/foreign,-0.5,balanced
"Specialty Food Producers Carve Out A Niche, and Fill It Delectably",article,2005,weekend,0.7,balanced
DOW SAYS SENTRACHEM ACCEPTS ITS BID OF $495 MILLION,article,1997,business/economy/financial,0.7,balanced
"For Romney, a Course Set Long Ago",article,2007,world/international/foreign,0.2,balanced
Britain Backs New E.U. Oversight Plan,article,2010,business/economy/financial,0.5,balanced
Schools Official in New Jersey Orders Plan to Combat Hazing,article,2009,entertainment,0.2,balanced
Foreign Affairs; The Cold Peace,article,1995,media,-0.4,clickbait
Storm Over the Chamber,article,2009,education,-0.5,clickbait
China Lifts Year's Ban On 3 Brokerage Firms,article,1998,business/economy/financial,0.6,balanced
School Administrator Resigns After Inquiry Into Wife's Job,article,2012,uncategorized,-0.5,balanced
"BACKTALK;
Hoops in the 'Hood Brings Brownsville a New Concept",article,1993,sports,0.6,balanced
Firestone Teams Up With the Big Leagues,article,2009,business/economy/financial,0.5,clickbait
Apulia's Medieval Marvels,article,1993,travel,0.5,balanced
"Child’s Play, From Clicks to Downloads",article,2008,business/economy/financial,0.2,clickbait
"ArtsBeat | October 6, 2011",multimedia,2011,arts/culture,0.0,matter-of-fact
Making a Difference; A New Start at a TRW Hot Spot,article,1991,business/economy/financial,0.5,balanced
"Paid Notice: Deaths  GAFFNEY, RICHARD W.",article,1998,lifestyle/living,-0.8,matter-of-fact
Columbia Gas System reports earnings for Qtr to March 31,article,1992,business/economy/financial,0.1,matter-of-fact
Diet Pill Excesses,article,1997,media,-0.7,clickbait
In Performance; DANCE,article,1995,travel,0.5,clickbait
Lottery Numbers,article,2003,education,0.0,clickbait
"Arts, Briefly",article,2005,arts/culture,0.2,clickbait
Is Denaturalization the Next Front in the Trump Administration’s War on Immigration?,article,2018,magazine,-0.7,clickbait
Alaska to Pay Pilots in Plan to Kill Wolves,article,2007,world/international/foreign,-0.7,clickbait
Patterns,article,1994,uncategorized,0.0,clickbait
Message in a Tennis Ball,article,2012,uncategorized,0.2,clickbait
Trouble in paradise — or not,article,2007,uncategorized,0.2,clickbait
Fact-Check: De Blasio’s Sports Allegiances,article,2013,uncategorized,0.0,clickbait
Corrections,article,2000,home,0.2,balanced
Visions of Rambo and Bourne Dancing in Their Heads,article,2014,business/economy/financial,0.2,clickbait
"Helen Donald Allen, Silas Smith",article,2002,social/society,0.1,matter-of-fact
Playing in a European Fishbowl To Faintly Heard Applause,article,2005,arts/culture,0.2,clickbait
State Cutbacks Put Schools And Federal Law to the Test,article,2003,world/international/foreign,-0.5,balanced
In Question: The Legacy Of a Winner,article,2000,sports,0.5,clickbait
Danforth Faults U.N. Assembly on Sudan Ruling,article,2004,world/international/foreign,-0.5,clickbait
Quote Unquote | Lighten Up,article,2009,uncategorized,0.2,clickbait
Funds Shift Prime Brokers in ‘Flight to Quality’,article,2008,business/economy/financial,0.2,clickbait
Corrections,article,2006,home,0.2,matter-of-fact
Miss Kim Weds T. A. Sablosky,article,1991,social/society,0.2,balanced
"History, Nostalgia and Nullification",article,2010,entertainment,0.2,clickbait
Warning on Storage of Health Records,article,2008,business/economy/financial,-0.5,balanced
For Those Scoring at Home,article,2009,uncategorized,0.3,clickbait
Ultimate Guide to Winning in the N.F.L.,article,2009,uncategorized,0.7,clickbait
"Red, Intense and Consistently Impressive",article,2003,dining/food,0.7,clickbait
Recording Could Close Bet Loophole,article,2002,sports,0.2,clickbait
"The Executive Life; In Hollywood, Only the Studio Jet Will Do",article,1992,business/economy/financial,0.2,clickbait
Time Finds a New Role for Life In Special Issues and Hardcovers,article,2001,business/economy/financial,0.2,clickbait
"Dot-Coms: A Way to Burn Money, or to Fuel the Future?; Winners Always Get Out in Time",article,2000,business/economy/financial,0.2,clickbait
King of the PG-Rated Night,article,2011,fashion/style,0.3,clickbait
"With Schools Closed, Capital Is in a Bind",article,1997,world/international/foreign,-0.6,clickbait
'Big Zac' Is a Titanic Tomato,article,1997,home,0.2,clickbait
"Damien Hirst Audi A1 Sells for $524,000",article,2010,uncategorized,0.7,clickbait
Chirac Praises Peacekeepers as Ivory Coast Role Deepens,article,2003,world/international/foreign,0.7,balanced
Bon Voyage as a Bonus,article,2007,business/economy/financial,0.5,clickbait
Copter Crash Kills 8 in Louisiana,article,2009,world/international/foreign,-0.9,balanced
Understanding 'Leasehold Co-ops',article,2009,uncategorized,0.2,balanced
A Rock Star's Struggle Where Militant Islam Rules,article,2003,arts/culture,-0.7,clickbait
"Him, Her and Him by the Seashore, Balancing Levity and Suffering",article,2008,arts/culture,0.2,clickbait
New York Presses for State Trial of Clifford,article,1992,business/economy/financial,-0.3,balanced
"Emanuel Zacchini Sr. Human Cannonball, 84",article,1993,obituary,-0.5,matter-of-fact
"This Time, A Bloop, Not a Blast, Tips Yanks",article,1995,sports,0.1,clickbait
Achieving Liftoff at Margiela and Courrèges,article,2015,fashion/style,0.3,balanced
The Challenges of Closing the Digital Divide,article,2016,business/economy/financial,0.2,balanced
Forget Swooshes and V’s. The Economy’s Future Is a Question Mark.,article,2020,business/economy/financial,-0.3,clickbait
Susan R. Ryan Has Wedding,article,1992,social/society,0.7,matter-of-fact
Germany’s Clean-Energy Plan Faces Resistance to Power Lines,article,2014,business/economy/financial,-0.5,balanced
Pipeline Crews Tackle Huge Oil Spill Caused by Shooting,article,2001,world/international/foreign,-0.7,clickbait
"Can CNN, the Go-to Site, Get You to Stay?",article,2009,business/economy/financial,0.3,clickbait
Metro Briefing | New York: Manhattan: Clinton Rival Admits Problems,article,2006,home,-0.3,balanced
"Speak,Memory",article,2000,magazine,0.5,clickbait
'Manny Hanny': A Name for History Books,article,1991,business/economy/financial,0.2,clickbait
World Briefing | United Nations: Annan Opens Food Conference,article,2002,world/international/foreign,0.2,balanced
Russian News Sites Protest Detention of Journalists With Greenpeace Activists,article,2013,uncategorized,-0.5,balanced
The Voting Booth at the Kitchen Table,article,2001,media,0.2,clickbait
Oahu’s Windward Side,multimedia,2011,travel,0.3,balanced
What Apple vs. HTC Could Mean,article,2010,business/economy/financial,0.2,balanced
Federal Court Reinstates Suit on Gays in Military,article,2008,world/international/foreign,0.2,balanced
"Oh, the People You’ll Eat!",article,2010,books/reviews,-0.7,clickbait
It's Surfers vs. Turf as Long Beach Votes on Plan to Build New Dunes,article,2006,home,0.2,clickbait
Computer Biology Unit,article,1991,science/health,0.2,matter-of-fact
A Casualty Report; Illness Can Be Delayed But No Cure's in Sight,article,1992,weekend,-0.7,clickbait
Filling U.S. Roster Becomes an Adventure,article,2004,sports,0.2,clickbait
"Poll Has Hillary Clinton Ahead, but With Voters Considering Alternatives",article,2015,politics,0.2,balanced
Trump Administration Says It Needs More Time to Reunite Migrant Families,article,2018,world/international/foreign,-0.5,balanced
"Paid Notice: Deaths  BRITTON, WRIGHT",article,2000,lifestyle/living,-0.8,matter-of-fact
Cloud Town,article,1997,media,0.2,clickbait
Artists as Pariahs,article,1998,sports,-0.5,clickbait
Lise de la Salle and Emanuel Ax: Affordable Elegance,article,2015,arts/culture,0.5,balanced
State Panel to Rate Hospitals to Identify the Least Viable,article,2005,home,-0.3,balanced
Real-Estate Agent Becomes an Advocate,article,1991,weekend,0.7,balanced
Arendt’s Heidegger,article,2010,books/reviews,0.2,clickbait
Azinger Will Get Four Picks as Captain,article,2006,sports,0.2,balanced
TELEVISION REVIEW;A Case of Multiple Personalities,article,1996,travel,0.1,clickbait
Paperback Row,article,2007,books/reviews,0.2,balanced
Political Shadow Dancing,article,2000,world/international/foreign,0.1,clickbait
Sound Truck Newest Weapon To Combat Holiday Gridlock,article,1999,home,0.2,clickbait
American Ecology Corp.(NMS) reports earnings for Qtr to June 30,article,1993,business/economy/financial,0.1,matter-of-fact
"‘Where Do I Find Your Hand Sanitizer?’ Sorry, We Have None.",article,2020,business/economy/financial,-0.7,clickbait
Murder and Hate Verdict in Transgender Case,article,2009,world/international/foreign,-0.8,clickbait
Questions Surround Two Yankees Pillars,article,2012,sports,0.1,clickbait
U.S. Plans a Shift to Focus Troops on Kabul Region,article,2008,world/international/foreign,0.2,balanced
A High-Definition Gambit; Chinese Test U.S. Market With Cheaper HDTV Sets,article,1999,business/economy/financial,0.2,clickbait
The Christian Market,article,2004,media,0.2,balanced
Hillary Clinton Stops for Ice Cream on Her Vegas Roll,article,2015,politics,0.5,clickbait
ONLINE DIARY,article,2003,times,0.2,clickbait
Crime,article,2000,books/reviews,-0.7,clickbait
WHITBREAD TO BUY SWALLOW,article,1999,business/economy/financial,0.2,clickbait
Measuring Success in Afghanistan,article,2009,opinion/editorial,0.2,balanced
McDaniel Drawn Into a Shouting Match at Campaign Event,article,2014,world/international/foreign,-0.6,clickbait
Our Eyes Are Up Here,article,2008,politics,0.2,clickbait
